preset,code_profile,n,r,cache_profile,workload_type,batch_size,density_or_weight,output_mode,selected_backend,selected_block_width,selection_reason,lut_bytes,fits_l1,fits_l2,fits_l3,oracle_best_backend,oracle_best_block_width,selected_latency_us,oracle_best_latency_us,planner_over_oracle,correctness_passed
lightweight,bch_255_239_r16,255,16,default_cpu_cache,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,8.600007276982069,8.600007276982069,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,69.20000305399299,13.499986380338669,5.125931323514194,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,397.60000072419643,82.20004383474588,4.8369803977662995,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,5838.399985805154,441.1999834701419,13.233001370228443,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,22757.70000414923,1884.999976027757,12.073050553616621,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,18.200022168457508,18.200022168457508,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,69.90000838413835,69.90000838413835,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,8,651.9999587908387,409.6999764442444,1.591408338485879,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,8,1974.2000149562955,1900.6000366061926,1.0387246011430826,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,72.60002894327044,33.60002301633358,2.160713667010831,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,579.1999865323305,239.2000169493258,2.4214044543944713,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,6,7977.999979630113,2842.1999886631966,2.806980512086517,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,36019.29999422282,11174.799990840256,3.2232612685459308,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,PackedBatchGF2Kernel,0,13.000040780752897,12.999982573091984,1.0000044775183803,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,17.300015315413475,17.300015315413475,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,71.00001676008105,71.00001676008105,1.0,True
lightweight,bch_255_239_r16,255,16,default_cpu_cache,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,267.1999973244965,267.1999973244965,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,5.999987479299307,5.999987479299307,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,60.399994254112244,11.399970389902592,5.298258871585397,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,384.5000173896551,73.79997987300158,5.210028756800755,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,5488.800001330674,510.6999888084829,10.74760156963509,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,23472.599976230413,1961.899979505688,11.96421847261779,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,13.599987141788006,13.599987141788006,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,69.69994865357876,69.69994865357876,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,411.19998786598444,411.19998786598444,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,2075.500029604882,2075.500029604882,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,NaiveGF2Kernel,0,75.4999928176403,36.299985367804766,2.079890447686044,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,6,516.1000299267471,252.70000332966447,2.04234279036973,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,7849.5999914593995,2776.100009214133,2.827563836103112,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,35558.89998096973,10927.100025583059,3.254193692536675,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,10.399962775409222,10.399962775409222,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,16.50000922381878,16.50000922381878,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,79.90002632141113,79.90002632141113,1.0,True
lightweight,bch_255_239_r16,255,16,small_l2_profile,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,251.49999419227242,251.49999419227242,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,7.299997378140688,7.299997378140688,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,56.59996531903744,10.599964298307896,5.339637354068509,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,384.2999576590955,74.09998215734959,5.186235495212988,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,6231.000006664544,470.90003499761224,13.232107758701142,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,22990.699973888695,2042.3000096343458,11.257258906836592,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,15.900004655122757,15.900004655122757,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,62.90001329034567,62.90001329034567,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,4,652.2000185213983,565.3999978676438,1.1535196692272958,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,51264,False,True,True,PackedBlockLUTKernel,10,1875.5000201053917,1875.5000201053917,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,51264,False,True,True,PackedBatchGF2Kernel,0,73.40003503486514,30.199997127056122,2.430464967465384,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,653.1000253744423,191.50000298395753,3.410443943591762,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,8479.500014800578,2906.9000156596303,2.9170249988376087,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,36534.99996289611,11559.000005945563,3.160740543654618,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,9.300012607127428,9.300012607127428,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,24.100008886307478,24.100008886307478,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,86.50001836940646,86.50001836940646,1.0,True
lightweight,bch_255_239_r16,255,16,large_l3_profile,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,259.39999613910913,259.39999613910913,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,8.199946023523808,8.199946023523808,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,102656,False,True,True,PackedBatchGF2Kernel,0,65.90003613382578,14.199991710484028,4.640850324241455,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,368.10000892728567,73.09997454285622,5.035569591224416,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,4,6136.3999848254025,573.0000557377934,10.709248495489566,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,26368.699967861176,2214.9999858811498,11.904605027512646,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,PackedBatchGF2Kernel,0,19.700033590197563,19.700033590197563,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,10,69.60000609979033,69.60000609979033,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,candidate_test_packed,1024,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,10,562.3999750241637,562.3999750241637,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,candidate_test_packed,4096,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,8,2185.2999925613403,1906.8000256083906,1.1460562005520691,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,component_decode_batch,1,density=0.02,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,102656,False,True,True,PackedBatchGF2Kernel,0,75.29999129474163,42.69997589290142,1.7634668338831483,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,component_decode_batch,64,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,8,577.8999766334891,231.8999613635242,2.4920227378890267,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,component_decode_batch,1024,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,8387.50001275912,2302.7000133879483,3.642463179742915,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,component_decode_batch,4096,density=0.02,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,6,36274.800018873066,11714.300024323165,3.0966254871015195,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,event_update,1,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,11.299969628453255,11.299969628453255,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,event_update,64,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,16.10000617802143,16.10000617802143,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,event_update,1024,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,73.90003884211183,73.90003884211183,1.0,True
lightweight,ebch_256_239_r17,256,17,default_cpu_cache,event_update,4096,flip_count=2,unpacked,EventUpdateKernel,0,event update workload uses incremental syndrome updates,0,True,True,True,EventUpdateKernel,0,258.1999870017171,258.1999870017171,1.0,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,sparse_single,1,weight=2,unpacked,SparseXorKernel,0,sparse single input hamming_weight=2 <= 8,0,True,True,True,SparseXorKernel,0,7.299997378140688,7.299997378140688,1.0,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,dense_batch,1,density=0.5,unpacked,PackedBlockLUTKernel,10,small/dense batch uses packed LUT because selected table fits L2,102656,False,True,True,PackedBatchGF2Kernel,0,69.20000305399299,13.699987903237343,5.051099573426693,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,dense_batch,64,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=64 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,422.2000134177506,80.40003012865782,5.251241980160172,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,dense_batch,1024,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=1024 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,6164.89996900782,528.9000109769404,11.656078353298813,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,dense_batch,4096,density=0.5,unpacked,PackedBatchGF2Kernel,0,large unpacked batch_size=4096 uses vectorized PackedBatch path,0,True,True,True,PackedBlockLUTKernel,10,24899.100011680275,2120.8999678492546,11.739874765017682,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,candidate_test_packed,1,density=0.05,packed,PackedBatchGF2Kernel,0,candidate batch LUT does not fit cache target or batch is small; use vectorized fallback,0,True,True,True,NaiveGF2Kernel,0,20.199979189783335,19.99997766688466,1.0100000873115889,True
lightweight,ebch_256_239_r17,256,17,small_l2_profile,candidate_test_packed,64,density=0.05,packed,PackedBlockLUTKernel,10,large packed candidate batch uses LUT selected by cache footprint,102656,False,True,True,PackedBlockLUTKernel,10,62.30000872164965,62.30000872164965,1.0,True
