matrix_source,method,component_n,output_r,batch_size,flip_count,iterations,total_runtime_s,latency_per_word_us,throughput_Mupdate_s,repeats,mean,std,correctness_passed
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,1,1,0.0020930333412252367,0.5109944680725675,1.9569683479586861,3,0.0020930333412252367,0.00014145572467761324,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,1,1,0.04532873333664611,11.066585287267117,0.0903621102663502,3,0.04532873333664611,0.001116586520805397,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,1,1,8.43666687918206e-05,0.020597331248003076,48.54997902201289,3,8.43666687918206e-05,1.1846327299038402e-06,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,1,5,0.009694333362858742,0.47335612123333703,2.112574349718947,3,0.009694333362858742,0.00016517254872962359,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,1,5,0.23212580000593638,11.334267578414863,0.08822802118280797,3,0.23212580000593638,0.00526848155701422,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,1,5,0.0005107333417981863,0.024938151454989566,40.099203094699405,3,0.0005107333417981863,1.1082588332129125e-05,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,1,10,0.021255266658651333,0.5189274086584799,1.927051805926341,3,0.021255266658651333,0.0004736601536017646,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,1,10,0.45134180000362295,11.019086914150952,0.09075162105453387,3,0.45134180000362295,0.01555094662460129,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,1,10,0.0008968666661530733,0.021896158841627766,45.670110782118336,3,0.0008968666661530733,2.3158804971841488e-06,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,2,1,0.0019524666713550687,0.47667643343629607,2.09785911334264,3,0.0019524666713550687,1.755744220472425e-05,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,2,1,0.047135599985873945,11.507714840301256,0.0868982255710658,3,0.047135599985873945,0.0028354551436532978,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,2,1,0.00031403333802397054,0.07666829541600843,13.043201163843781,3,0.00031403333802397054,5.709920786316371e-06,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,2,5,0.010245866666082293,0.5002864583047995,1.9988548228717997,3,0.010245866666082293,0.00024026564378170064,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,2,5,0.22630413332566,11.05000651004199,0.09049768424038693,3,0.22630413332566,0.004955890450159832,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,2,5,0.0026373333336474993,0.1287760416820068,7.765419614848471,3,0.0026373333336474993,0.0009133466094182225,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,2,10,0.021116099999441456,0.5155297851426137,1.93975213231058,3,0.021116099999441456,0.0011109454103199394,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,2,10,0.45331799999500316,11.067333984253006,0.09035599733619996,3,0.45331799999500316,0.019523244207224778,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,2,10,0.003225733332025508,0.078753255176404,12.697887823938727,3,0.003225733332025508,0.00021767868461242799,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,4,1,0.0021131333196535707,0.5159016893685475,1.938353799972972,3,0.0021131333196535707,6.102657387663945e-05,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,4,1,0.047077899992776416,11.49362792792393,0.08700473047074074,3,0.047077899992776416,0.0009685141583008449,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,4,1,0.00047670000155145925,0.11638183631627423,8.592406097481083,3,0.00047670000155145925,1.4910715979581371e-05,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,4,5,0.010558499993445972,0.5155517574924792,1.939669461828162,3,0.010558499993445972,0.0005509285920850396,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,4,5,0.21717003335167342,10.60400553474968,0.09430398699085613,3,0.21717003335167342,0.007604007551231517,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,4,5,0.0022914333191389837,0.11188639253608319,8.937637342070007,3,0.0022914333191389837,0.00016784625056169423,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,4,10,0.021745733334682882,0.5309016927412813,1.8835878914541706,3,0.021745733334682882,0.0014601732519472265,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,4,10,0.44663036668983597,10.904061686763573,0.09170894559537376,3,0.44663036668983597,0.01673074091553296,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,4,10,0.004821066667015354,0.11770182292517954,8.496045134625296,3,0.004821066667015354,0.0003735508043536828,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,8,1,0.002196399999472002,0.5362304686210942,1.864869787372358,3,0.002196399999472002,9.547783597185201e-05,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,8,1,0.04832526668906212,11.798160812759306,0.08475897352734287,3,0.04832526668906212,0.00046552493130369056,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,8,1,0.0007733666764882704,0.18881022375201914,5.296323367072468,3,0.0007733666764882704,3.828958925271171e-05,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,8,5,0.010673466681813201,0.5211653653229101,1.9187767770799722,3,0.010673466681813201,0.0005128433540233983,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,8,5,0.23683926664913693,11.56441731685239,0.08647214750221248,3,0.23683926664913693,0.001902527283566673,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,8,5,0.004227733317141731,0.2064322908760611,4.844203374172625,3,0.004227733317141731,0.00015104888937374032,True
galois_systematic_candidate,from_scratch.PackedBlockLUT.apply_many_packed,255,16,4096,8,10,0.021153133323726554,0.5164339190362928,1.936356159305106,3,0.021153133323726554,0.0005743477142050449,True
galois_systematic_candidate,event_update.loop_update,255,16,4096,8,10,0.4648767999994258,11.349531249985983,0.08810936575034631,3,0.4648767999994258,0.005180688556767631,True
galois_systematic_candidate,event_update.batch_update_many,255,16,4096,8,10,0.00778629999452581,0.1900952147101028,5.2605216892230064,3,0.00778629999452581,0.001012259193037562,True
