matrix_source,workload_type,backend_or_method,batch_size,density,flip_count,block_width,total_runtime_s,latency_per_word_us,throughput_Mword_s,repeats,mean,std,correctness_passed
galois_systematic_candidate,batch_syndrome,Naive.apply_many,1,0.005,0,8,1.2366683222353458e-05,12.366683222353458,0.08086242543938095,3,1.2366683222353458e-05,4.0413146373721435e-07,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,1,0.005,0,8,7.226665426666538e-05,72.26665426666538,0.013837640750739342,3,7.226665426666538e-05,5.686198705372636e-07,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,1,0.005,0,8,7.379999927555521e-05,73.79999927555521,0.013550135634367551,3,7.379999927555521e-05,4.358731836401886e-07,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.005,1,8,1.2266663058350483e-05,12.266663058350483,0.0815217631105677,3,1.2266663058350483e-05,1.1718804555046886e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.005,1,8,7.183333703627189e-05,71.83333703627189,0.013921112971475276,3,7.183333703627189e-05,1.4433530573398596e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.005,1,8,1.0933338974912962e-05,10.933338974912962,0.09146336743921916,3,1.0933338974912962e-05,1.0116253179831092e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.005,2,8,1.1566677130758762e-05,11.566677130758762,0.08645525319806355,3,1.1566677130758762e-05,2.5169390364086886e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.005,2,8,7.136666681617498e-05,71.36666681617498,0.014012143828655786,3,7.136666681617498e-05,2.0817750821896566e-07,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.005,2,8,1.5733336719373863e-05,15.733336719373863,0.06355930835501733,3,1.5733336719373863e-05,3.544506264756561e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.005,4,8,1.853333863740166e-05,18.53333863740166,0.053956819090432276,3,1.853333863740166e-05,8.111903311417022e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.005,4,8,8.636666461825371e-05,86.36666461825371,0.011578541378436521,3,8.636666461825371e-05,2.081914881513436e-07,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.005,4,8,1.2766666865597168e-05,12.766666865597168,0.07832898050271357,3,1.2766666865597168e-05,1.1930354845930527e-06,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,16,0.005,0,8,0.00011916668154299259,7.447917596437037,0.13426571750449867,3,0.00011916668154299259,3.98789564185154e-06,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,16,0.005,0,8,8.02999905621012e-05,5.018749410131325,0.19925282541130762,3,8.02999905621012e-05,2.645441451464521e-07,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,16,0.005,0,8,8.306665889297922e-05,5.191666180811201,0.1926163904174111,3,8.306665889297922e-05,5.033261282290002e-07,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.005,1,8,0.00011699999837825696,7.31249989864106,0.13675213864766522,3,0.00011699999837825696,3.605336578933378e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.005,1,8,8.26333222600321e-05,5.164582641252006,0.19362648823014642,3,8.26333222600321e-05,4.50812152835406e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.005,1,8,1.346665279318889e-05,0.8416657995743057,1.18812003589284,3,1.346665279318889e-05,8.736961475082761e-07,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.005,2,8,0.00011600001016631722,7.2500006353948265,0.137931022394392,3,0.00011600001016631722,1.732063996258268e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.005,2,8,7.980000615740816e-05,4.98750038483801,0.2005012376620557,3,7.980000615740816e-05,1.7322320517509314e-07,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.005,2,8,1.416665812333425e-05,0.8854161327083906,1.1294124458079502,3,1.416665812333425e-05,5.033261282290002e-07,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.005,4,8,0.00011609999152521293,7.256249470325808,0.13781224089517138,3,0.00011609999152521293,6.082617468115759e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.005,4,8,7.896666647866368e-05,4.93541665491648,0.20261713851531396,3,7.896666647866368e-05,3.0547561791219836e-07,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.005,4,8,1.4766682094583908e-05,0.9229176309114943,1.083520312654963,3,1.4766682094583908e-05,5.686045152287957e-07,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,64,0.005,0,8,0.00044786668149754405,6.997916898399126,0.14289966778953384,3,0.00044786668149754405,2.3288561888316777e-06,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,64,0.005,0,8,0.00010419999792551,1.6281249675860938,0.6142034671224468,3,0.00010419999792551,3.465553442805029e-06,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,64,0.005,0,8,0.00010846667767812808,1.6947918387207512,0.5900429640697419,3,0.00010846667767812808,7.094652906373758e-07,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.005,1,8,0.00044809999720503885,7.001562456328732,0.14282526310910748,3,0.00044809999720503885,2.551456513191733e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.005,1,8,0.00010539998766034842,1.646874807192944,0.6072106972748429,3,0.00010539998766034842,3.3778448987164002e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.005,1,8,1.559998296822111e-05,0.24374973387845483,4.102568581669293,3,1.559998296822111e-05,1.4730775192165025e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.005,2,8,0.0004688666667789221,7.3260416684206575,0.13649936012656877,3,0.0004688666667789221,0.00012217634117443334,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.005,2,8,7.680000271648169e-05,1.2000000424450263,0.8333333038576216,3,7.680000271648169e-05,4.3589321343477796e-07,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.005,2,8,1.4733329104880491e-05,0.23020826726375768,4.343892649408046,3,1.4733329104880491e-05,2.1732847524770136e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.005,4,8,0.0004613666678778827,7.2088541855919175,0.13871830033664223,3,0.0004613666678778827,5.5770467093984105e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.005,4,8,0.00010526667271430294,1.6447917611609835,0.6079796990800499,3,0.00010526667271430294,1.096940258088206e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.005,4,8,2.4333324593802292e-05,0.3802081967781608,2.630137930938579,3,2.4333324593802292e-05,2.663318015990689e-06,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,4096,0.005,0,8,0.03095063332390661,7.556306963844388,0.13233977984018197,3,0.03095063332390661,0.002373579239158838,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,4096,0.005,0,8,0.0023955000021184483,0.5848388677046993,1.7098726764256829,3,0.0023955000021184483,0.00046321689070203087,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,4096,0.005,0,8,0.005184133323685576,1.2656575497279239,0.7901031366778227,3,0.005184133323685576,0.0016575511747011148,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.005,1,8,0.025122200003049027,6.133349610119391,0.16304304557335256,3,0.025122200003049027,0.005685920256509887,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.005,1,8,0.002599733338380853,0.634700522065638,1.5755462068086723,3,0.002599733338380853,4.858574832143799e-05,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.005,1,8,9.636666315297286e-05,0.023527017371331265,42.504325313184204,3,9.636666315297286e-05,5.455587896207191e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.005,2,8,0.02849723332716773,6.957332355265559,0.14373325132917705,3,0.02849723332716773,0.003839390894738658,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.005,2,8,0.0019052333276097972,0.46514485537348566,2.149867914151292,3,0.0019052333276097972,2.1257093210457344e-05,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.005,2,8,0.0002926666638813913,0.0714518222366678,13.995444324537015,3,0.0002926666638813913,3.794540119399101e-05,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.005,4,8,0.02824360002220298,6.895410161670649,0.1450240053243933,3,0.02824360002220298,0.0031940834975994273,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.005,4,8,0.0027263666658351817,0.6656168617761674,1.5023657864248612,3,0.0027263666658351817,0.00020641440554815754,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.005,4,8,0.0007121666761425635,0.17386881741761803,5.751462596067962,3,0.0007121666761425635,1.033942784230495e-05,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,1,0.05,0,8,1.829998412479957e-05,18.29998412479957,0.05464485614743409,3,1.829998412479957e-05,5.291432921629755e-07,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,1,0.05,0,8,0.00019676667094851533,196.76667094851533,0.00508216150214613,3,0.00019676667094851533,8.326634200599589e-07,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,1,0.05,0,8,0.000278300023637712,278.300023637712,0.003593244394767962,3,0.000278300023637712,5.552226317170641e-05,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.05,1,8,2.786666542912523e-05,27.86666542912523,0.035885169057753005,3,2.786666542912523e-05,1.0785749334822033e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.05,1,8,0.00030406667307640117,304.0666730764012,0.00328875239723735,3,0.00030406667307640117,2.0305951289744566e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.05,1,8,4.82333319572111e-05,48.2333319572111,0.02073255069517327,3,4.82333319572111e-05,1.6165882626296069e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.05,2,8,2.9799994081258774e-05,29.799994081258774,0.033557053644815996,3,2.9799994081258774e-05,5.00003807246685e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.05,2,8,0.0002938000252470374,293.8000252470374,0.003403675677560493,3,0.0002938000252470374,8.544068803577403e-07,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.05,2,8,4.433334106579423e-05,44.33334106579423,0.02255638704323953,3,4.433334106579423e-05,1.833943207867636e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.05,4,8,2.753332955762744e-05,27.53332955762744,0.03631961757138719,3,2.753332955762744e-05,9.237506620252025e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.05,4,8,0.0002970666585800548,297.0666585800548,0.0033662478474692768,3,0.0002970666585800548,4.163363700596169e-07,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.05,4,8,4.363331633309523e-05,43.63331633309523,0.022918267141695915,3,4.363331633309523e-05,1.8009394010353904e-06,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,16,0.05,0,8,9.36666619963944e-05,5.85416637477465,0.1708185138551847,3,9.36666619963944e-05,7.505597732500049e-07,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,16,0.05,0,8,0.00026570000530531007,16.60625033158188,0.060218290103587875,3,0.00026570000530531007,6.390601205051396e-06,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,16,0.05,0,8,0.0002690000110305846,16.812500689411536,0.059479551464333744,3,0.0002690000110305846,8.544068803577403e-07,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.05,1,8,9.356666123494506e-05,5.847916327184066,0.1710010786836151,3,9.356666123494506e-05,7.370841893277158e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.05,1,8,0.00025946668271596235,16.216667669747647,0.06166494993700277,3,0.00025946668271596235,1.5011053272682867e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.05,1,8,4.983334414040049e-05,3.1145840087750307,0.32107016448508036,3,4.983334414040049e-05,9.88954566269779e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.05,2,8,9.383332993214329e-05,5.864583120758955,0.17051510387162638,3,9.383332993214329e-05,4.163596724770231e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.05,2,8,0.0002579333377070725,16.12083360669203,0.06203153164392709,3,0.0002579333377070725,6.123193672090088e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.05,2,8,4.6899988471219935e-05,2.931249279451246,0.3411514697880654,3,4.6899988471219935e-05,2.0952166899860714e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.05,4,8,9.409999862934153e-05,5.8812499143338455,0.17003188345436387,3,9.409999862934153e-05,9.848607741138883e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.05,4,8,0.0002639333445889254,16.49583403680784,0.060621366447350195,3,0.0002639333445889254,8.203417278933747e-05,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.05,4,8,6.906666870539387e-05,4.316666794087117,0.231660224822027,3,6.906666870539387e-05,5.690958559132701e-05,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,64,0.05,0,8,0.00032506669716288644,5.079167143170101,0.19688267225950398,3,0.00032506669716288644,9.620854438999337e-05,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,64,0.05,0,8,0.00020369999886800846,3.1828124823126323,0.3141875324283634,3,0.00020369999886800846,1.2288086139400162e-06,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,64,0.05,0,8,0.00034849999550109106,5.445312429704548,0.1836441917537977,3,0.00034849999550109106,0.00014904483833810134,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.05,1,8,0.0004642000033830603,7.253125052860317,0.1378716060611203,3,0.0004642000033830603,9.124146286217887e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.05,1,8,0.0004441666727264722,6.940104261351128,0.14409005431934474,3,0.0004441666727264722,1.1351329787165746e-05,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.05,1,8,7.180000344912212e-05,1.121875053892533,0.8913648596876567,3,7.180000344912212e-05,3.675590713381537e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.05,2,8,0.0002145000034943223,3.351562554598786,0.2983682935077157,3,0.0002145000034943223,8.185415099186863e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.05,2,8,0.00031916665223737556,4.986978941208993,0.20052220227695006,3,0.00031916665223737556,1.7690186309143113e-05,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.05,2,8,5.71999892902871e-05,0.8937498326607359,1.1188813283723391,3,5.71999892902871e-05,1.609356331809204e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.05,4,8,0.00030606666890283424,4.782291701606785,0.2091047686748204,3,0.00030606666890283424,2.122122031080696e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.05,4,8,0.00030913333951806027,4.830208429969692,0.2070304034491271,3,0.00030913333951806027,6.211562103343399e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.05,4,8,6.166667056580384e-05,0.963541727590685,1.0378377722161323,3,6.166667056580384e-05,1.3613822232677893e-06,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,4096,0.05,0,8,0.029724433339045692,7.256941733165452,0.13779909454554812,3,0.029724433339045692,0.0013533853803438744,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,4096,0.05,0,8,0.002537933314063897,0.6196126255038811,1.613911593855565,3,0.002537933314063897,0.0006601063035318749,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,4096,0.05,0,8,0.002816533320583403,0.6876302052205574,1.4542700311997638,3,0.002816533320583403,1.2516131892918211e-05,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.05,1,8,0.02033953331798936,4.965706376462246,0.2013812183378505,3,0.02033953331798936,0.004913084917121186,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.05,1,8,0.0023553999878155687,0.5750488251502853,1.7389827720083706,3,0.0023553999878155687,0.00033232503188450883,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.05,1,8,0.00013976666377857327,0.03412272064906574,29.305986772991368,3,0.00013976666377857327,2.4616322978249867e-05,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.05,2,8,0.028295866679400206,6.908170576025441,0.14475612450428835,3,0.028295866679400206,0.0027047149527237154,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.05,2,8,0.00246589999490728,0.6020263659441601,1.6610568183865109,3,0.00246589999490728,2.432303301495772e-05,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.05,2,8,0.00033526667781795066,0.08185221626414811,12.217140178255718,3,0.00033526667781795066,3.295950722287442e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.05,4,8,0.025436199988083292,6.210009762715647,0.16103034265806024,3,0.025436199988083292,0.005102473325484051,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.05,4,8,0.0024822666697824993,0.606022136177368,1.650104740905577,3,0.0024822666697824993,9.509053055173982e-05,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.05,4,8,0.000505700008943677,0.12346191624601488,8.09966368906313,3,0.000505700008943677,3.874259305149178e-06,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,1,0.5,0,8,1.4766682094583908e-05,14.766682094583908,0.06772001954093519,3,1.4766682094583908e-05,1.0969084207342877e-06,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,1,0.5,0,8,9.316667759170134e-05,93.16667759170134,0.010733451335277337,3,9.316667759170134e-05,3.6474012571132888e-06,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,1,0.5,0,8,9.126666312416394e-05,91.26666312416394,0.010956903274085387,3,9.126666312416394e-05,2.55801348355502e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.5,1,8,1.4033323774735132e-05,14.033323774735132,0.07125895590040815,3,1.4033323774735132e-05,5.50761248464552e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.5,1,8,9.210000280290842e-05,92.10000280290842,0.01085776297032231,3,9.210000280290842e-05,5.602720592686537e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.5,1,8,1.2866667627046505e-05,12.866667627046505,0.07772020145277866,3,1.2866667627046505e-05,1.2897043546754864e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.5,2,8,1.6966660041362047e-05,16.966660041362047,0.05893911928229583,3,1.6966660041362047e-05,5.400316160527499e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.5,2,8,9.089999366551638e-05,90.89999366551638,0.011001100876636891,3,9.089999366551638e-05,5.692965756825914e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.5,2,8,1.65666569955647e-05,16.5666569955647,0.060362208275799065,3,1.65666569955647e-05,1.365023780472074e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,1,0.5,4,8,1.5733336719373863e-05,15.733336719373863,0.06355930835501733,3,1.5733336719373863e-05,1.4364416994535282e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,1,0.5,4,8,8.823334549864133e-05,88.23334549864133,0.011333583628146557,3,8.823334549864133e-05,3.4443117033088303e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,1,0.5,4,8,1.446666040768226e-05,14.46666040768226,0.06912445386973816,3,1.446666040768226e-05,1.9655513649379497e-06,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,16,0.5,0,8,0.00012739999995877346,7.9624999974233415,0.12558869705790884,3,0.00012739999995877346,1.0866885317804642e-05,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,16,0.5,0,8,8.0933328717947e-05,5.058333044871688,0.19769358623268873,3,8.0933328717947e-05,1.2858087671135714e-06,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,16,0.5,0,8,8.446666955326994e-05,5.279166847079371,0.18942382935921728,3,8.446666955326994e-05,1.7009930617248438e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.5,1,8,0.00012009998317807913,7.5062489486299455,0.13322233339763156,3,0.00012009998317807913,2.6457714571204075e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.5,1,8,8.466667107616861e-05,5.291666942260538,0.1889763681107284,3,8.466667107616861e-05,4.5081176548030406e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.5,1,8,1.3933323013285795e-05,0.8708326883303622,1.148326209386201,3,1.3933323013285795e-05,2.0256840383386966e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.5,2,8,0.00012063333997502923,7.539583748439327,0.13263331682030818,3,0.00012063333997502923,3.512215193906486e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.5,2,8,8.320001264413197e-05,5.200000790258248,0.19230766308216982,3,8.320001264413197e-05,4.073046218518832e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.5,2,8,1.4199991710484028e-05,0.8874994819052517,1.1267612211482492,3,1.4199991710484028e-05,7.937314371361222e-07,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,16,0.5,4,8,0.00012056667280072968,7.535417050045605,0.13270665622866196,3,0.00012056667280072968,6.807010889353192e-07,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,16,0.5,4,8,8.180000198384126e-05,5.1125001239900785,0.1955990172611565,3,8.180000198384126e-05,1.967242098751754e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,16,0.5,4,8,1.4833329866329828e-05,0.9270831166456143,1.0786519375071941,3,1.4833329866329828e-05,9.451703221888726e-07,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,64,0.5,0,8,0.00045676665225376684,7.136978941465107,0.14011530763949767,3,0.00045676665225376684,2.2679090946038113e-06,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,64,0.5,0,8,0.00010609999299049377,1.6578123904764652,0.603204563884695,3,0.00010609999299049377,1.8083279013984816e-06,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,64,0.5,0,8,0.0001262333244085312,1.9723956938832998,0.5069976592937983,3,0.0001262333244085312,1.138961644713005e-05,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.5,1,8,0.0004561333335004747,7.127083335944917,0.1403098508693695,3,0.0004561333335004747,6.73525597032509e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.5,1,8,0.00011146668111905456,1.7416668924852274,0.5741626049818719,3,0.00011146668111905456,2.8148358243278577e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.5,1,8,1.6233321124066908e-05,0.25364564256354544,3.9425080986734145,3,1.6233321124066908e-05,1.9008628848367562e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.5,2,8,0.0004577333456836641,7.152083526307251,0.13981939616920525,3,0.0004577333456836641,3.523250406342829e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.5,2,8,0.00010930001735687256,1.7078127712011337,0.5855442802999319,3,0.00010930001735687256,7.644616181774563e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.5,2,8,1.8700006573150556e-05,0.29218760270547744,3.422458690035495,3,1.8700006573150556e-05,1.1532347575554135e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,64,0.5,4,8,0.0004569333395920694,7.139583431126084,0.14006419417137841,3,0.0004569333395920694,4.5959823261514065e-06,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,64,0.5,4,8,0.0001037333277054131,1.6208332453970797,0.6169666144496038,3,0.0001037333277054131,1.6502362664149273e-06,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,64,0.5,4,8,2.926667608941595e-05,0.4572918138971242,2.1867874508354253,3,2.926667608941595e-05,1.1015207359963902e-06,True
galois_systematic_candidate,batch_syndrome,Naive.apply_many,4096,0.5,0,8,0.02289346665687238,5.5892252580254835,0.17891567325258814,3,0.02289346665687238,0.0023673535808592977,True
galois_systematic_candidate,batch_syndrome,PackedBlockLUT.apply_many_packed,4096,0.5,0,8,0.0035461333269874253,0.8657552067840394,1.1550609134822654,3,0.0035461333269874253,0.0010898339230457285,True
galois_systematic_candidate,batch_syndrome,HybridPlanner.apply_many_packed,4096,0.5,0,8,0.002976666670292616,0.7267252613019082,1.376035832590335,3,0.002976666670292616,3.172733422149208e-05,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.5,1,8,0.030537699989508837,7.455493161501181,0.13412928941626814,3,0.030537699989508837,0.0018330058161976986,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.5,1,8,0.002746099994207422,0.6704345688982963,1.491569865860688,3,0.002746099994207422,0.0001400807262276274,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.5,1,8,0.00012873332404221097,0.03142903418999291,31.81771332694667,3,0.00012873332404221097,2.350136990416169e-06,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.5,2,8,0.02776030000920097,6.777416994433831,0.1475488376797948,3,0.02776030000920097,0.004355380525043011,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.5,2,8,0.0022340999955000975,0.545434569213891,1.8334004781568074,3,0.0022340999955000975,0.00037997734975959784,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.5,2,8,0.00033376668579876423,0.08148600727508892,12.272045636302883,3,0.00033376668579876423,6.919547728216131e-05,True
galois_systematic_candidate,event_update,from_scratch.Naive.apply_many,4096,0.5,4,8,0.02345916667642693,5.727335614362043,0.17460125743153052,3,0.02345916667642693,0.0019467189037265739,True
galois_systematic_candidate,event_update,from_scratch.PackedBlockLUT.apply_many_packed,4096,0.5,4,8,0.002113333340579023,0.5159505226023006,1.9381703403580217,3,0.002113333340579023,0.00017535572700858268,True
galois_systematic_candidate,event_update,HybridPlanner.update_many,4096,0.5,4,8,0.0005118666643587252,0.12496744735320439,8.002083912089754,3,0.0005118666643587252,9.546918978137687e-06,True
